taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,---,female_maturity(months),male_maturity(months),Gestation(months),Weaning(months),Infancy(months),litter_size,litters_year,interbirth_interval,birth_weight(g),weaning_weight(g),adult_weight(g),growth_rate(1/days),max_longevity(months),metabolic_rate,SE_simple
1640,Animalia,Chordata,Mammalia,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,Nine-banded armadillo,78,4,0.051282051,-,4,2,0.025641026,0.5,2,0.025641026,0.5,-,78,4,78,10,-,11.99868508,11.99868508,4.372123603,4.503616042,4.503616042,3.96,-1,-1,66,-1,5500,-1,267.6,866.97,0.113227703
2700,Animalia,Chordata,Mammalia,Mammalia,Diprotodontia,Macropodidae,Notamacropus,Notamacropus rufogriseus,Red wallaby,77,3,0.038961039,-,2,2,0.025974026,1,0,0,0,-,77,3,77,15,-,12.98487837,19.98685076,0.953320184,6.147271532,6.147271532,1.01,-1,8.97,0.598,1483.3,16200,-1,182.4,-1,0.113960576
3268,Animalia,Chordata,Mammalia,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena phocoena,Common porpoise,76,0,0,-,0,0,0,NA,0,0,NA,-,76,0,76,1,-,34.68113083,48.02761341,10.51939513,7.98816568,7.98816568,0.98,0.935,12,7000,-1,52500,0.0088,244.8,-1,0.114707867
3639,Animalia,Chordata,Amphibia,Amphibia,Anura,Ranidae,Rana,Rana sierrae,Sierra nevada yellow-legged frog,76,1,0.013157895,-,1,0,0,0,1,0.013157895,1,-,76,1,76,5,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.114707867
15239,Animalia,Chordata,Amphibia,Amphibia,Anura,Ranidae,Rana,Rana temporaria,Common frog,73,0,0,-,0,0,0,NA,0,0,NA,-,73,0,73,1,-,35.99605523,35.99605523,-1,-1,109.5,2585,-1,-1,-1,-1,-1,-1,324,-1,0.117041147
111,Animalia,Chordata,Amphibia,Amphibia,Anura,Hylidae,Agalychnis,Agalychnis callidryas,Green tree frog,73,2,0.02739726,-,2,1,0.01369863,0.5,1,0.01369863,0.5,-,73,2,73,20,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117041147
223,Animalia,Chordata,Amphibia,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma mexicanum,Axolotl,73,5,0.068493151,-,5,5,0.068493151,1,0,0,0,-,73,5,73,18,-,18.01446417,18.01446417,0.591715976,-1,54.8,-1,-1,-1,-1,-1,-1,-1,204,-1,0.117041147
2698,Animalia,Chordata,Mammalia,Mammalia,Diprotodontia,Macropodidae,Notamacropus,Notamacropus parma,Parma wallaby,72,4,0.055555556,-,4,2,0.027777778,0.5,2,0.027777778,0.5,-,72,4,72,8,-,13.93819855,20.38132807,1.117685733,9.960552268,9.960552268,0.9,1.3,7,0.5067,754,4250,0.01,190.8,1376.25,0.11785113
8200,Animalia,Chordata,Aves,Sauropsida,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus melanopis,Black faced ibis,72,0,0,-,0,0,0,NA,0,0,NA,-,72,0,72,1,-,-1,-1,-1,-1,13.64722773,2.4,-1,-1,-1,-1,1200,-1,414,-1,0.11785113
3712,Animalia,Chordata,Mammalia,Mammalia,Primates,Cebidae,Saimiri,Saimiri sciureus,Common squirrel monkey,71,8,0.112676056,-,8,1,0.014084507,0.125,7,0.098591549,0.875,-,71,8,71,15,-,32.97172913,60.02629849,5.292570677,5.818540434,5.818540434,1,1.07,12,107,403,925,0.0125,362.4,738.81,0.118678166
12,Animalia,Chordata,Mammalia,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris,White bengal tiger,71,17,0.23943662,-,19,12,0.169014085,0.684210526,5,0.070422535,0.315789474,-,73,19,71,27,-,41.68310322,46.51545036,3.451676529,3.977646285,3.977646285,2.5,0.4,24.65,1190,11003,119700,-1,315.6,28497,0.118678166
2804,Animalia,Chordata,Aves,Sauropsida,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,Domestic lavender turkey,71,10,0.14084507,-,10,8,0.112676056,0.8,2,0.028169014,0.2,-,71,10,71,20,-,9.993425378,11.99868508,0.920447074,-1,33.45,11,-1,-1,47,-1,6050,0.023,156,-1,0.118678166
3299,Animalia,Chordata,Amphibia,Amphibia,Anura,Hylidae,Phyllomedusa,Phyllomedusa bicolor,Giant waxy tree frog,70,0,0,-,0,0,0,NA,0,0,NA,-,70,0,70,17,-,-1,-1,-1,-1,4.074389727,-1,-1,-1,-1,-1,-1,-1,123.6,-1,0.119522861
3019,Animalia,Chordata,Aves,Sauropsida,Psittaciformes,Cacatuidae,Nymphicus,Nymphicus hollandicus,Cockatiel,70,8,0.114285714,-,8,7,0.1,0.875,0,0,0.125,-,71,9,70,14,-,14.9800789,13.00854701,-1,-1,42.5707,4.5,-1,-1,-1,-1,90,-1,420,-1,0.119522861
2699,Animalia,Chordata,Mammalia,Mammalia,Diprotodontia,Macropodidae,Macropus,Osphranter robustus,Wallaroo,69,4,0.057971014,-,4,3,0.043478261,0.75,1,0.014492754,0.25,-,69,4,69,7,-,17.98159106,22.02498356,1.051939513,11.53846154,11.53846154,-1,1.31,8.68,0.703,2500,30000,0.0038,264,5453.5,0.120385853
4217,Animalia,Chordata,Amphibia,Amphibia,Anura,Hylidae,Trachycephalus,Trachycephalus resinifictrix,Mission-eyed tree frog,69,6,0.086956522,-,5,4,0.057971014,0.8,1,0.014492754,0.2,-,69,6,69,14,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120385853
701,Animalia,Chordata,Reptilia,Sauropsida,Squamata,Colubridae,Boiga,Boiga dendrophila,Mangrove snake,68,1,0.014705882,-,1,1,0.014705882,1,0,0,0,-,68,1,68,6,-,-1,0.493096647,0.558842867,-1,15,-1,-1,-1,-1,-1,-1,-1,204,-1,0.121267813
19619,Animalia,Tetrapoda,Amphibia,Amphibia,Anura,Pipidae,Xenopus,Xenopus longipes,Lake oku clawed frog,67,0,0,-,0,0,0,NA,0,0,NA,-,67,0,67,1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.122169444
3140,Animalia,Chordata,Reptilia,Sauropsida,Squamata,Colubridae,Pantherophis,Pantherophis guttatus,Corn snake,67,23,0.343283582,-,33,16,0.23880597,0.787878788,7,0.104477612,0.212121212,-,77,33,67,27,-,19.72386588,18.8678501,1.692965155,-1,58.698,12,-1,-1,-1,-1,900,-1,387.6,-1,0.122169444
