taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
4436,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus albigularis,NA,11,1,0.090909091,-,1,1,0.090909091,1,0,0,0,-,11,1,11,3,0.301511345
1003,Animalia,Chordata,Reptilia,Squamata,Scincidae,Carlia,Carlia scirtetis,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1010,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Carpodectes,Carpodectes nitidus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1193,Animalia,Chordata,Sauropsida,Chelonia,Chelidae,Chelodina,Chelodina,NA,4,2,0.5,-,2,0,0,0.5,1,0.25,0.5,-,5,3,4,3,0.5
2785,Animalia,Chordata,Amphibia,Anura,Megophryidae,Megophrys,Megophrys nasuta,Asian Horned Frog,23,0,0,-,0,0,0,NA,0,0,NA,-,23,0,23,5,0.208514414
4220,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Trachyphonus,Trachyphonus darnaudii,NA,7,0,0,-,0,0,0,NA,0,0,NA,-,7,0,7,2,0.377964473
1617,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Cyprinodon macularius,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
1364,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Coccycolius,Coccycolius iris,NA,7,0,0,-,0,0,0,NA,0,0,NA,-,7,0,7,6,0.377964473
3198,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pedostibes,Pedostibes hosii,NA,15,0,0,-,0,0,0,NA,0,0,NA,-,15,0,15,3,0.25819889
778,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta hutchinsii,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2924,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,Namyripristis jacobus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
16937,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene noctua,Little owl,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
